Age,Gender,Grade_Level,Math_Score,Writing_Score,Attendance_Rate,Extracurriculars,Graduation_Year,Graduation_Month,Academic_Average,Grade_Age_Gap,Graduation_Distance,Attendance_Band,Literacy_Level
7,Male,3,50.6,56.9,91.6,Sports,2033,6,53.75,1,7,Medium,Low
16,Male,12,79.6,74.7,86.4,Art,2024,7,77.15,1,-2,Medium,Medium
14,Male,9,48.0,54.5,94.9,Music,2027,6,51.25,0,1,Medium,Low
11,Male,7,61.7,65.1,83.8,Science Club,2029,7,63.4,1,3,Low,Medium
11,Female,5,57.2,63.4,97.2,Sports,2031,7,60.3,-1,5,High,Medium
17,Male,12,68.5,66.1,89.0,Music,2024,6,67.3,0,-2,Medium,Medium
7,Female,3,56.4,64.8,84.0,None,2033,6,60.599999999999994,1,7,Low,Medium
15,Male,10,61.9,66.6,99.0,Sports,2026,6,64.25,0,0,High,Medium
8,Female,4,62.5,61.6,90.7,Art,2032,6,62.05,1,6,Medium,Medium
7,Male,2,55.0,59.2,100.0,None,2034,7,57.1,0,8,High,Medium
12,Female,6,73.3,66.3,97.1,None,2030,6,69.8,-1,4,High,Medium
18,Female,12,69.6,69.7,87.0,Sports,2024,6,69.65,-1,-2,Medium,Medium
15,Male,9,64.7,60.8,90.6,None,2027,6,62.75,-1,1,Medium,Medium
15,Female,9,59.5,66.3,91.6,None,2027,7,62.9,-1,1,Medium,Medium
15,Male,10,77.9,72.5,98.6,Music,2026,6,75.2,0,0,High,Medium
16,Male,12,62.5,64.5,93.2,None,2024,6,63.5,1,-2,Medium,Medium
12,Female,7,61.4,61.8,91.9,None,2029,6,61.599999999999994,0,3,Medium,Medium
7,Female,2,67.6,70.0,90.0,Science Club,2034,6,68.8,0,8,Medium,Medium
16,Male,10,91.4,77.1,90.7,Art,2026,6,84.25,-1,0,Medium,High
11,Male,5,45.9,54.0,97.5,None,2031,6,49.95,-1,5,High,Low
12,Female,6,77.5,73.3,91.0,None,2030,6,75.4,-1,4,Medium,Medium
10,Female,4,37.6,50.0,89.0,Science Club,2032,6,43.8,-1,6,Medium,Low
8,Other,4,69.3,69.1,88.2,None,2032,7,69.19999999999999,1,6,Medium,Medium
18,Female,12,89.6,82.0,88.2,None,2024,6,85.8,-1,-2,Medium,Medium
16,Female,12,73.3,76.0,84.0,None,2024,7,74.65,1,-2,Low,High
14,Male,8,68.6,69.8,87.2,None,2028,7,69.19999999999999,-1,2,Medium,Medium
11,Female,5,57.6,65.7,98.5,Sports,2031,7,61.650000000000006,-1,5,High,Medium
16,Male,10,66.5,62.8,90.0,Sports,2026,7,64.65,-1,0,Medium,Medium
13,Female,8,62.2,66.9,94.5,Science Club,2028,7,64.55000000000001,0,2,Medium,Medium
11,Male,6,54.2,53.2,78.6,Art,2030,6,53.7,0,4,Low,Low
11,Female,6,61.7,63.3,93.8,Science Club,2030,7,62.5,0,4,Medium,Medium
8,Female,2,69.0,68.0,90.2,None,2034,6,68.5,-1,8,Medium,Medium
7,Female,3,54.5,65.3,88.6,None,2033,6,59.9,1,7,Medium,Medium
13,Female,7,53.9,61.5,91.9,Art,2029,7,57.7,-1,3,Medium,Medium
17,Male,11,45.6,58.9,88.5,None,2025,7,52.25,-1,-1,Medium,Low
6,Female,2,71.9,69.0,80.4,Sports,2034,6,70.45,1,8,Low,Medium
17,Male,12,74.2,73.4,95.6,Art,2024,7,73.80000000000001,0,-2,High,Medium
16,Male,10,69.5,67.1,92.2,Sports,2026,7,68.3,-1,0,Medium,Medium
9,Male,4,80.5,78.0,89.4,Art,2032,6,79.25,0,6,Medium,High
14,Male,10,67.3,68.3,86.2,Art,2026,7,67.8,1,0,Medium,Medium
8,Male,4,71.9,69.5,83.7,None,2032,7,70.7,1,6,Low,Medium
15,Female,11,70.6,67.6,92.1,Science Club,2025,7,69.1,1,-1,Medium,Medium
15,Female,10,64.6,72.6,99.1,Music,2026,7,68.6,0,0,High,Medium
10,Female,5,58.0,63.4,92.0,Sports,2031,7,60.7,0,5,Medium,Medium
6,Male,2,99.2,80.9,84.1,Sports,2034,6,90.05000000000001,1,8,Low,High
18,Male,12,59.2,65.8,92.1,None,2024,7,62.5,-1,-2,Medium,Medium
11,Male,5,56.0,63.7,90.7,None,2031,6,59.85,-1,5,Medium,Medium
17,Female,12,72.5,74.1,95.3,Music,2024,7,73.3,0,-2,High,Medium
14,Female,10,69.8,69.8,94.0,Music,2026,6,69.8,1,0,Medium,Medium
16,Male,10,44.9,57.2,76.1,Art,2026,7,51.05,-1,0,Low,Low
15,Female,10,82.8,71.6,93.7,Science Club,2026,7,77.19999999999999,0,0,Medium,Medium
8,Male,3,64.6,57.9,86.0,Music,2033,6,61.25,0,7,Medium,Low
10,Male,5,49.3,61.6,83.9,Sports,2031,7,55.45,0,5,Low,Medium
12,Male,8,83.8,73.3,90.1,Music,2028,6,78.55,1,2,Medium,Medium
12,Male,6,75.4,76.2,93.1,Music,2030,6,75.80000000000001,-1,4,Medium,Medium
6,Female,2,47.0,63.8,82.8,Music,2034,6,55.4,1,8,Low,Medium
13,Female,8,92.7,78.9,94.5,Sports,2028,7,85.80000000000001,0,2,Medium,High
8,Male,4,75.9,69.8,94.8,Science Club,2032,6,72.85,1,6,Medium,Medium
15,Female,10,65.8,73.0,91.2,Art,2026,7,69.4,0,0,Medium,Medium
14,Female,8,89.9,83.4,86.7,Music,2028,7,86.65,-1,2,Medium,High
17,Female,12,68.4,65.9,86.1,Art,2024,6,67.15,0,-2,Medium,Medium
15,Female,11,65.6,65.7,96.1,Art,2025,6,65.65,1,-1,High,Medium
10,Male,4,56.1,64.3,83.4,None,2032,6,60.2,-1,6,Low,Medium
18,Female,12,74.7,69.8,96.3,None,2024,6,72.25,-1,-2,High,Medium
11,Male,7,73.1,67.9,90.2,Sports,2029,7,70.5,1,3,Medium,Medium
10,Female,5,66.2,63.0,90.5,None,2031,6,64.6,0,5,Medium,Medium
17,Male,12,54.2,66.4,82.5,None,2024,6,60.300000000000004,0,-2,Low,Medium
10,Female,5,67.9,66.0,90.3,Science Club,2031,7,66.95,0,5,Medium,Medium
6,Male,1,65.0,60.1,94.1,Music,2035,7,62.55,0,9,Medium,Medium
12,Male,6,46.0,53.1,84.3,Music,2030,7,49.55,-1,4,Low,Low
16,Female,12,43.9,48.0,93.5,Sports,2024,7,45.95,1,-2,Medium,Low
8,Female,2,74.5,72.0,91.4,None,2034,7,73.25,-1,8,Medium,Medium
12,Male,8,27.0,42.7,87.8,Science Club,2028,7,34.85,1,2,Medium,Low
7,Female,2,69.1,68.0,95.3,Music,2034,6,68.55,0,8,High,Medium
14,Female,9,58.8,60.1,80.0,Art,2027,6,59.45,0,1,Low,Medium
12,Male,6,85.6,78.0,92.7,Sports,2030,6,81.8,-1,4,Medium,Medium
10,Female,6,58.6,64.9,99.1,Sports,2030,7,61.75,1,4,High,Medium
8,Male,2,75.9,73.0,98.2,Science Club,2034,7,74.45,-1,8,High,Medium
13,Female,8,60.0,65.2,92.9,Art,2028,7,62.6,0,2,Medium,Medium
14,Male,10,67.7,71.2,89.5,None,2026,7,69.45,1,0,Medium,Medium
18,Male,12,77.1,71.5,87.8,Science Club,2024,6,74.3,-1,-2,Medium,Medium
11,Female,7,59.1,68.2,89.5,Science Club,2029,7,63.650000000000006,1,3,Medium,Medium
8,Female,4,80.9,73.5,93.7,None,2032,6,77.2,1,6,Medium,Medium
16,Female,11,51.1,52.4,87.0,Sports,2025,7,51.75,0,-1,Medium,Low
14,Female,8,70.4,66.7,94.8,Science Club,2028,6,68.55000000000001,-1,2,Medium,Medium
15,Female,11,79.8,77.6,100.0,None,2025,6,78.69999999999999,1,-1,High,Medium
7,Female,3,75.9,70.3,90.7,Music,2033,7,73.1,1,7,Medium,Medium
10,Female,6,94.7,81.6,84.3,Sports,2030,7,88.15,1,4,Low,Medium
15,Male,10,54.5,53.6,84.3,Sports,2026,7,54.05,0,0,Low,Low
16,Male,10,45.3,50.2,94.9,Sports,2026,7,47.75,-1,0,Medium,Low
11,Male,6,51.1,60.2,90.7,Art,2030,6,55.650000000000006,0,4,Medium,Low
16,Female,11,75.9,75.0,95.4,Sports,2025,7,75.45,0,-1,High,Medium
16,Male,12,73.5,69.3,88.3,Science Club,2024,7,71.4,1,-2,Medium,Medium
11,Male,6,67.5,69.5,95.2,Sports,2030,7,68.5,0,4,High,Medium
17,Female,11,49.2,62.8,90.2,Sports,2025,6,56.0,-1,-1,Medium,Medium
9,Male,3,77.5,77.8,87.3,Music,2033,6,77.65,-1,7,Medium,Medium
9,Male,5,47.6,54.7,89.0,Sports,2031,7,51.150000000000006,1,5,Medium,Low
14,Female,10,83.4,77.3,85.0,None,2026,6,80.35,1,0,Low,Medium
14,Female,8,100.0,83.4,100.0,Music,2028,7,91.7,-1,2,High,High
7,Male,2,71.5,69.9,90.5,Sports,2034,7,70.7,0,8,Medium,Medium
16,Male,11,74.7,69.7,94.2,Sports,2025,7,72.2,0,-1,Medium,Medium
8,Male,3,58.6,62.6,88.3,Music,2033,7,60.6,0,7,Medium,Medium
16,Female,12,38.8,51.0,85.7,Science Club,2024,6,44.9,1,-2,Medium,Low
6,Female,1,57.0,61.4,89.8,None,2035,6,59.2,0,9,Medium,Medium
16,Male,10,49.6,56.9,96.5,Music,2026,7,53.25,-1,0,High,Low
16,Female,10,44.3,55.8,88.4,Science Club,2026,6,50.05,-1,0,Medium,Low
16,Male,10,91.8,85.0,86.6,Art,2026,6,88.4,-1,0,Medium,High
14,Male,10,70.1,71.9,91.8,None,2026,7,71.0,1,0,Medium,Medium
12,Other,8,71.7,69.0,93.5,Art,2028,7,70.35,1,2,Medium,Medium
15,Male,9,61.4,63.3,99.2,Music,2027,6,62.349999999999994,-1,1,High,Medium
9,Male,4,63.4,66.8,92.8,None,2032,7,65.1,0,6,Medium,Medium
16,Male,10,80.5,70.1,94.2,None,2026,6,75.3,-1,0,Medium,Medium
13,Female,7,65.5,69.2,94.6,Art,2029,6,67.35,-1,3,Medium,Medium
11,Female,5,74.0,74.6,85.2,None,2031,7,74.3,-1,5,Medium,Medium
12,Other,6,63.1,62.2,86.2,None,2030,6,62.650000000000006,-1,4,Medium,Low
13,Male,8,60.9,64.7,85.6,Sports,2028,7,62.8,0,2,Medium,Medium
6,Male,2,44.9,55.3,84.3,None,2034,6,50.099999999999994,1,8,Low,Low
7,Female,2,36.3,50.3,95.0,Science Club,2034,7,43.3,0,8,Medium,Low
9,Male,5,62.1,68.1,92.5,Art,2031,7,65.1,1,5,Medium,Medium
7,Female,2,66.8,70.8,91.4,Art,2034,7,68.8,0,8,Medium,Medium
11,Female,5,46.7,53.0,78.0,None,2031,6,49.85,-1,5,Low,Low
14,Male,8,65.5,63.3,100.0,Science Club,2028,6,64.4,-1,2,High,Medium
14,Female,8,66.8,62.8,86.5,Art,2028,7,64.8,-1,2,Medium,Medium
12,Male,6,33.7,47.0,100.0,Sports,2030,7,40.35,-1,4,High,Low
17,Male,12,52.3,59.5,83.8,Art,2024,7,55.9,0,-2,Low,Medium
13,Female,9,72.1,69.0,86.9,None,2027,7,70.55,1,1,Medium,Medium
7,Female,3,71.8,67.7,80.0,None,2033,6,69.75,1,7,Low,Medium
15,Female,10,48.7,58.1,92.8,Sports,2026,7,53.400000000000006,0,0,Medium,Low
